profile,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12441850,1,10,1,calc_extBIC,1954.682
profile,12441850,1,10,1,calcVC,1632.432
profile,12441850,1,10,1,MMt,9483.886
profile,12441849,4,8,1,find_qtl,33041.839
profile,12441849,4,8,1,constructX,4929.233
profile,12441849,4,8,1,calc_extBIC,1892.217
profile,12441849,4,8,1,calcVC,1065.303
profile,12441849,3,8,1,find_qtl,32236.762
profile,12441849,3,8,1,constructX,4916.896
profile,12441849,3,8,1,calc_extBIC,1828.819
profile,12441849,3,8,1,calcVC,1078.247
profile,12441849,2,8,1,find_qtl,32550.587
profile,12441849,2,8,1,constructX,4925.925
profile,12441849,2,8,1,calc_extBIC,2007.063
profile,12441849,2,8,1,calcVC,1213.196
profile,12441849,1,8,1,invMMt,188.924
profile,12441849,1,8,1,find_qtl,33841.07
profile,12441849,1,8,1,constructX,0.081
profile,12441849,1,8,1,calc_extBIC,1906.265
profile,12441849,1,8,1,calcVC,1456.792
profile,12441849,1,8,1,MMt,9442.007
profile,12441848,4,4,1,find_qtl,35125.851
profile,12441848,4,4,1,constructX,5172.08
profile,12441848,4,4,1,calc_extBIC,2210.288
profile,12441848,4,4,1,calcVC,1424.887
profile,12441848,3,4,1,find_qtl,35234.404
profile,12441848,3,4,1,constructX,4957.096
profile,12441848,3,4,1,calc_extBIC,2158.929
profile,12441848,3,4,1,calcVC,1497.161
profile,12441848,2,4,1,find_qtl,34207.812
profile,12441848,2,4,1,constructX,4964.97
profile,12441848,2,4,1,calc_extBIC,2198.326
profile,12441848,2,4,1,calcVC,1543.645
profile,12441848,1,4,1,invMMt,307.033
profile,12441848,1,4,1,find_qtl,34527.433
profile,12441848,1,4,1,constructX,0.202
profile,12441848,1,4,1,calc_extBIC,2178.628
profile,12441848,1,4,1,calcVC,1821.233
profile,12441848,1,4,1,MMt,10235.011
profile,12441847,4,2,1,find_qtl,33667.109
profile,12441847,4,2,1,constructX,4605.315
profile,12441847,4,2,1,calc_extBIC,2354.728
profile,12441847,4,2,1,calcVC,1326.535
profile,12441847,3,2,1,find_qtl,32888.713
profile,12441847,3,2,1,constructX,4609.491
profile,12441847,3,2,1,calc_extBIC,2358.382
profile,12441847,3,2,1,calcVC,1310.887
profile,12441847,2,2,1,find_qtl,33267.756
profile,12441847,2,2,1,constructX,4608.703
profile,12441847,2,2,1,calc_extBIC,2436.229
profile,12441847,2,2,1,calcVC,1507.93
profile,12441847,1,2,1,invMMt,252.853
profile,12441847,1,2,1,find_qtl,33623.737
profile,12441847,1,2,1,constructX,0.081
profile,12441847,1,2,1,calc_extBIC,2432.878
profile,12441847,1,2,1,calcVC,1707.318
profile,12441847,1,2,1,MMt,9153.776
profile,12441846,4,1,1,find_qtl,34554.656
