profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,2,8,4,find_qtl,78094.238
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,2,8,4,constructX,31263.781
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,2,8,4,calc_extBIC,1993.458
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,2,8,4,calcVC,1278.269
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,1,8,4,invMMt,188.42
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,1,8,4,find_qtl,78388.451
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,1,8,4,constructX,0.085
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,1,8,4,calc_extBIC,1952.606
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,1,8,4,calcVC,1521.974
profile,eagle_REPEAT_cs_CRAN_12335730,12335737,1,8,4,MMt,70175.027
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,4,4,4,find_qtl,120337.978
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,4,4,4,constructX,32050.408
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,4,4,4,calc_extBIC,2088.019
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,4,4,4,calcVC,1249.086
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,3,4,4,find_qtl,120035.655
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,3,4,4,constructX,32262.232
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,3,4,4,calc_extBIC,2063.85
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,3,4,4,calcVC,1263.587
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,2,4,4,find_qtl,118699.947
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,2,4,4,constructX,31915.601
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,2,4,4,calc_extBIC,2115.903
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,2,4,4,calcVC,1361.958
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,1,4,4,invMMt,198.243
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,1,4,4,find_qtl,118467.245
profile,eagle_REPEAT_cs_CRAN_12335730,12335736,1,4,4,constructX,0.075
