profile,slurm_id1,run_id,itnum,ncpu,ngpu,function,time_ms
profile,12110290,12110300,2,1,0,find_qtl,137953.028
profile,12110290,12110300,2,1,0,constructX,22392.46
profile,12110290,12110300,2,1,0,calc_extBIC,3857.311
profile,12110290,12110300,2,1,0,calcVC,2414.42
profile,12110290,12110300,1,1,0,invMMt,326.115
profile,12110290,12110300,1,1,0,find_qtl,138889.105
profile,12110290,12110300,1,1,0,constructX,0.116
profile,12110290,12110300,1,1,0,calc_extBIC,3836.014
profile,12110290,12110300,1,1,0,calcVC,2652.854
profile,12110290,12110300,1,1,0,MMt,102715.139
profile,12110280,12110299,4,28,0,find_qtl,28510.727
profile,12110280,12110299,4,28,0,constructX,21106.713
profile,12110280,12110299,4,28,0,calc_extBIC,1894.049
profile,12110280,12110299,4,28,0,calcVC,1086.501
profile,12110280,12110299,3,28,0,find_qtl,28332.088
profile,12110280,12110299,3,28,0,constructX,22019.495
profile,12110280,12110299,3,28,0,calc_extBIC,1824.464
profile,12110280,12110299,3,28,0,calcVC,1202.998
profile,12110280,12110299,2,28,0,find_qtl,29304.21
profile,12110280,12110299,2,28,0,constructX,30217.799
profile,12110280,12110299,2,28,0,calc_extBIC,2006.503
profile,12110280,12110299,2,28,0,calcVC,1221.089
profile,12110280,12110299,1,28,0,invMMt,164.589
profile,12110280,12110299,1,28,0,find_qtl,30532.515
profile,12110280,12110299,1,28,0,constructX,0.146
profile,12110280,12110299,1,28,0,calc_extBIC,1964.546
profile,12110280,12110299,1,28,0,calcVC,1466.209
profile,12110280,12110299,1,28,0,MMt,29059.856
profile,12110280,12110298,4,21,0,find_qtl,32814.579
profile,12110280,12110298,4,21,0,constructX,20879.009
profile,12110280,12110298,4,21,0,calc_extBIC,1899.375
profile,12110280,12110298,4,21,0,calcVC,1144.535
profile,12110280,12110298,3,21,0,find_qtl,32029.087
profile,12110280,12110298,3,21,0,constructX,20867.377
profile,12110280,12110298,3,21,0,calc_extBIC,1886.387
profile,12110280,12110298,3,21,0,calcVC,1285.914
profile,12110280,12110298,2,21,0,find_qtl,32944.196
profile,12110280,12110298,2,21,0,constructX,21299.491
profile,12110280,12110298,2,21,0,calc_extBIC,2063.221
profile,12110280,12110298,2,21,0,calcVC,1209.503
profile,12110280,12110298,1,21,0,invMMt,221.821
profile,12110280,12110298,1,21,0,find_qtl,33223.073
profile,12110280,12110298,1,21,0,constructX,0.131
profile,12110280,12110298,1,21,0,calc_extBIC,1984.498
profile,12110280,12110298,1,21,0,calcVC,1523.099
profile,12110280,12110298,1,21,0,MMt,35849.762
profile,12110280,12110297,4,14,0,find_qtl,33305.536
profile,12110280,12110297,4,14,0,constructX,21553.465
profile,12110280,12110297,4,14,0,calc_extBIC,1810.856
profile,12110280,12110297,4,14,0,calcVC,1043.344
profile,12110280,12110297,3,14,0,find_qtl,33277.352
profile,12110280,12110297,3,14,0,constructX,21690.649
profile,12110280,12110297,3,14,0,calc_extBIC,1758.505
profile,12110280,12110297,3,14,0,calcVC,1134.69
profile,12110280,12110297,2,14,0,find_qtl,32268.172
profile,12110280,12110297,2,14,0,constructX,22562.535
profile,12110280,12110297,2,14,0,calc_extBIC,1896.169
profile,12110280,12110297,2,14,0,calcVC,1178.493
profile,12110280,12110297,1,14,0,invMMt,168.699
profile,12110280,12110297,1,14,0,find_qtl,34322.467
profile,12110280,12110297,1,14,0,constructX,0.138
profile,12110280,12110297,1,14,0,calc_extBIC,1944.949
profile,12110280,12110297,1,14,0,calcVC,1423.352
profile,12110280,12110297,1,14,0,MMt,29725.702
profile,12110280,12110296,4,12,0,find_qtl,25407.585
profile,12110280,12110296,4,12,0,constructX,15281.898
profile,12110280,12110296,4,12,0,calc_extBIC,1888.43
profile,12110280,12110296,4,12,0,calcVC,1098.916
profile,12110280,12110296,3,12,0,find_qtl,25750.202
profile,12110280,12110296,3,12,0,constructX,15279.642
profile,12110280,12110296,3,12,0,calc_extBIC,1829.815
profile,12110280,12110296,3,12,0,calcVC,1192.302
profile,12110280,12110296,2,12,0,find_qtl,26087.295
profile,12110280,12110296,2,12,0,constructX,15402.544
profile,12110280,12110296,2,12,0,calc_extBIC,1933.244
profile,12110280,12110296,2,12,0,calcVC,1172.083
profile,12110280,12110296,1,12,0,invMMt,186.661
profile,12110280,12110296,1,12,0,find_qtl,25634.158
profile,12110280,12110296,1,12,0,constructX,0.146
profile,12110280,12110296,1,12,0,calc_extBIC,2067.651
profile,12110280,12110296,1,12,0,calcVC,1471.101
profile,12110280,12110296,1,12,0,MMt,38165.388
profile,12110280,12110295,4,10,0,find_qtl,35195.624
profile,12110280,12110295,4,10,0,constructX,21954.048
profile,12110280,12110295,4,10,0,calc_extBIC,1863.164
profile,12110280,12110295,4,10,0,calcVC,1051.607
profile,12110280,12110295,3,10,0,find_qtl,39247.629
profile,12110280,12110295,3,10,0,constructX,21635.893
profile,12110280,12110295,3,10,0,calc_extBIC,1763.262
profile,12110280,12110295,3,10,0,calcVC,1096.118
profile,12110280,12110295,2,10,0,find_qtl,34288.047
profile,12110280,12110295,2,10,0,constructX,21257.609
profile,12110280,12110295,2,10,0,calc_extBIC,1908.005
profile,12110280,12110295,2,10,0,calcVC,1133.954
profile,12110280,12110295,1,10,0,invMMt,165.744
profile,12110280,12110295,1,10,0,find_qtl,37750.953
profile,12110280,12110295,1,10,0,constructX,0.135
profile,12110280,12110295,1,10,0,calc_extBIC,1866.214
profile,12110280,12110295,1,10,0,calcVC,1480.088
profile,12110280,12110295,1,10,0,MMt,38009.574
profile,12110280,12110294,4,8,0,find_qtl,33549.986
profile,12110280,12110294,4,8,0,constructX,15518.448
profile,12110280,12110294,4,8,0,calc_extBIC,1967.489
profile,12110280,12110294,4,8,0,calcVC,1108.038
profile,12110280,12110294,3,8,0,find_qtl,33875.3
profile,12110280,12110294,3,8,0,constructX,15463.381
profile,12110280,12110294,3,8,0,calc_extBIC,1881.619
profile,12110280,12110294,3,8,0,calcVC,1197.872
profile,12110280,12110294,2,8,0,find_qtl,36056.304
profile,12110280,12110294,2,8,0,constructX,15443.65
profile,12110280,12110294,2,8,0,calc_extBIC,2082.773
profile,12110280,12110294,2,8,0,calcVC,1261.309
profile,12110280,12110294,1,8,0,invMMt,232.303
profile,12110280,12110294,1,8,0,find_qtl,35641.582
profile,12110280,12110294,1,8,0,constructX,0.144
profile,12110280,12110294,1,8,0,calc_extBIC,2092.472
profile,12110280,12110294,1,8,0,calcVC,1664.416
profile,12110280,12110294,1,8,0,MMt,33533.747
profile,12110280,12110293,4,4,0,find_qtl,57218.199
profile,12110280,12110293,4,4,0,constructX,22405.904
profile,12110280,12110293,4,4,0,calc_extBIC,2209.842
profile,12110280,12110293,4,4,0,calcVC,1329.101
profile,12110280,12110293,3,4,0,find_qtl,56041.374
profile,12110280,12110293,3,4,0,constructX,22342.16
profile,12110280,12110293,3,4,0,calc_extBIC,2149.558
profile,12110280,12110293,3,4,0,calcVC,1393.034
profile,12110280,12110293,2,4,0,find_qtl,58266.218
profile,12110280,12110293,2,4,0,constructX,22267.141
profile,12110280,12110293,2,4,0,calc_extBIC,2233.227
profile,12110280,12110293,2,4,0,calcVC,1365.359
profile,12110280,12110293,1,4,0,invMMt,214.212
profile,12110280,12110293,1,4,0,find_qtl,54966.428
profile,12110280,12110293,1,4,0,constructX,0.135
profile,12110280,12110293,1,4,0,calc_extBIC,2321.104
profile,12110280,12110293,1,4,0,calcVC,1683.5
profile,12110280,12110293,1,4,0,MMt,48270.188
profile,12110280,12110292,4,2,0,find_qtl,87591.051
profile,12110280,12110292,4,2,0,constructX,28879.782
profile,12110280,12110292,4,2,0,calc_extBIC,2926.411
profile,12110280,12110292,4,2,0,calcVC,1744.417
profile,12110280,12110292,3,2,0,find_qtl,88165.623
profile,12110280,12110292,3,2,0,constructX,27811.335
profile,12110280,12110292,3,2,0,calc_extBIC,2803.91
profile,12110280,12110292,3,2,0,calcVC,1816.532
profile,12110280,12110292,2,2,0,find_qtl,81935.974
profile,12110280,12110292,2,2,0,constructX,27906.488
profile,12110280,12110292,2,2,0,calc_extBIC,2983.591
profile,12110280,12110292,2,2,0,calcVC,1820.787
profile,12110280,12110292,1,2,0,invMMt,274.472
